title,link,author,rating
"Parallel Worlds : The Science of Alternative Universes and our Future in the cosmos
মিচিও কাকু",https://www.rokomari.com/book/69005/parallel-worlds-the-science-of-alternative-universes-and-our-future-in-the-cosmos,মিচিও কাকু,(6)
"Optical Fiber Communication: Principles and Practice 
সিনিওর",https://www.rokomari.com/book/72034/optical-fiber-communication-principles-and-practice,সিনিওর,(2)
"Software Engineering
ইয়ান সোমারভিল ",https://www.rokomari.com/book/231617/software-engineering,ইয়ান সোমারভিল,(5)
"Principles Of Electronics
ভি.কে. মেহতা",https://www.rokomari.com/book/232693/principles-of-electronics,ভি.কে. মেহতা,(3)
"Signals and Systems
এস. হামিদ",https://www.rokomari.com/book/117586/signals-and-systems,এস. হামিদ,(2)
"Design of Water Resources Systems
প্যাট্রিক এ পুরসেল",https://www.rokomari.com/book/166172/design-of-water-resources-systems,প্যাট্রিক এ পুরসেল,(3)
"How the World Really Works
Vaclav Smil",https://www.rokomari.com/book/361722/how-the-world-really-works,Vaclav Smil,N/A
"Design Of Steel Structures: 3rd Edition
S.K. Duggal",https://www.rokomari.com/book/327946/design-of-steel-structures-3rd-edition,S.K. Duggal,N/A
"Discrete - Time Signal Processing 
অ্যালান ভি. ওপেনহিম",https://www.rokomari.com/book/103261/discrete-time-signal-processing,অ্যালান ভি. ওপেনহিম,N/A
"Electronic Devices and Circuit Theory
রবার্ট এল. বয়েলস্টাড",https://www.rokomari.com/book/116112/electronic-devices-and-circuit-theory,রবার্ট এল. বয়েলস্টাড,(6)
"Arduino Robot Bonanza
গর্ডন ম্যাক্মব",https://www.rokomari.com/book/123780/arduino-robot-bonanza,গর্ডন ম্যাক্মব,(4)
"ইঞ্জিনিয়ারিং অটোক্যাড
ইঞ্জিনিয়ার এম. আব্দুল আলিম",https://www.rokomari.com/book/218241/engineering-auto-cad,ইঞ্জিনিয়ার এম. আব্দুল আলিম,(4)
"ভাইভা সহায়িকা (সিভিল ইঞ্জিনিয়ারিং)
প্রকৌশলী ওয়ালীউল হাসনাত (ফারুক)",https://www.rokomari.com/book/179972/perfect-viva-sohayika-civil-engineering,প্রকৌশলী ওয়ালীউল হাসনাত (ফারুক),(5)
"Numerical Methods
ই. বালাগুরুস্বামি",https://www.rokomari.com/book/105175/numerical-methods,ই. বালাগুরুস্বামি,(5)
"Mechanical Vibrations (WIND)
ডাঃ দেবব্রত নাগ",https://www.rokomari.com/book/230488/mechanical-vibrations-wind,ডাঃ দেবব্রত নাগ,(3)
"Monochrome and Colour Television
গিলাটি আর",https://www.rokomari.com/book/166127/monochrome-and-colour-television,গিলাটি আর,(3)
"Design of Machine Elements
V. B. Bhandari",https://www.rokomari.com/book/426408/design-of-machine-elements,V. B. Bhandari,N/A
"A Systems Approach to Automotive Technology
জ্যাক এরজাভেক",https://www.rokomari.com/book/176684/a-systems-approach-to-automotive-technology,জ্যাক এরজাভেক,(4)
"Introduction to Biomedical Engineering Technology
লরেন্স জে স্ট্রিট",https://www.rokomari.com/book/351658/introduction-to-biomedical-engineering-technology,লরেন্স জে স্ট্রিট,(1)
"Let Us C - 19th Edition
যশবন্ত কানিতকার ",https://www.rokomari.com/book/163706/let-us-c,যশবন্ত কানিতকার,(4)
"Modern Weaving Technology
জে কে অরোরা ",https://www.rokomari.com/book/124374/modern-weaving-technology,জে কে অরোরা,(2)
"Nano finishing of textiles
এন গোকানেসান",https://www.rokomari.com/book/231571/nano-finishing-of-textiles,এন গোকানেসান,(3)
"Antenna Theory and Applications
কনস্টানটাইন এ. বালানিস",https://www.rokomari.com/book/231179/antenna-theory-and-applications,কনস্টানটাইন এ. বালানিস,(2)
"High Voltage Engineering
সি এল ওয়াধা",https://www.rokomari.com/book/230621/high-voltage-engineering,সি এল ওয়াধা,(2)
"Electrical Properties of Materials
লাজলো সোলিমার",https://www.rokomari.com/book/231290/electrical-properties-of-materials,লাজলো সোলিমার,(2)
"Chemical Engineering Kinetics
জে. এম স্মিথ",https://www.rokomari.com/book/119999/chemical-engineering-kinetics,জে. এম স্মিথ,(3)
"Data Mining: Concepts and Techniques
বিক্রম ফিদি",https://www.rokomari.com/book/123789/data-mining-concepts-and-techniques,বিক্রম ফিদি,(3)
"Engineering Mechanics of Composite Materials
আইজাক এম ড্যানিয়েল",https://www.rokomari.com/book/231287/engineering-mechanics-of-composite-materials,আইজাক এম ড্যানিয়েল,(2)
"Steam and Diesel Power Plant Operators Examinations
জেমস রাসেল",https://www.rokomari.com/book/160334/steam-and-diesel-power-plant-operators-examinations,জেমস রাসেল,(4)
"Fundamentals of Molecular Spectroscopy
কলিন এন. বেনওয়েল ",https://www.rokomari.com/book/221293/fundamentals-of-molecular-spectroscopy,কলিন এন. বেনওয়েল,(3)
"Engineering and General Geology
Parbin Singh",https://www.rokomari.com/book/197200/engineering-and-general-geology,Parbin Singh,(4)
"USB Complete The Developer’s Guide
জান এলেক্সন",https://www.rokomari.com/book/228587/usb-complete-the-developer-s-guide,জান এলেক্সন,(3)
"Professional Records And Information Management Student Edition with CD-ROM
Jeffrey Stewart",https://www.rokomari.com/book/187430/professional-records-and-information-management-student-edition-with-cd-rom,Jeffrey Stewart,(3)
"Network Models and Optimization - Decision Engineering
লিন লিন",https://www.rokomari.com/book/299977/network-models-and-optimization,লিন লিন,(1)
"জল-সরবরাহ প্রযুক্তি-বিদ্যা: গ্রামীণ জল-সরবরাহ ব্যবস্থাসহ
নীহার কান্তি সামন্ত",https://www.rokomari.com/book/137748/jol-sorborah-projukti-biddya-grameen-jol-sorborah-byabosthasoho,নীহার কান্তি সামন্ত,N/A
"Nag’s Power Plant Engineering
সুদীপ্ত দে",https://www.rokomari.com/book/340532/nag-s-power-plant-engineering,সুদীপ্ত দে,(1)
"Disaster Management
এস.আর. সিং",https://www.rokomari.com/book/228046/disaster-management,এস.আর. সিং,(2)
"Programming Interviews Exposed: Coding Your Way Through the Interview
নোহা কাইন্ডলার",https://www.rokomari.com/book/171987/programming-interviews-exposed-coding-your-way-through-the-interview,নোহা কাইন্ডলার,(5)
"Chemical Reaction Engineering 
অক্টেভ লিভেনস্পেল",https://www.rokomari.com/book/109907/chemical-reaction-engineering,অক্টেভ লিভেনস্পেল,(4)
"Building Drawing with an Integrated Approach to Built Environment
শাহ",https://www.rokomari.com/book/120400/building-drawing-with-an-integrated-approach-to-built-environment,শাহ,(3)
"Introduction to Classical Mechanics 
আর জি. তাকওয়ালে",https://www.rokomari.com/book/70734/introduction-to-classical-mechanics,আর জি. তাকওয়ালে,(3)
"Bridge Engineering 
এস. পুন্নুস্বামী",https://www.rokomari.com/book/70864/bridge-engineering,এস. পুন্নুস্বামী,(1)
"Industrial Engineering And Production Management
মার্তান্ড টি তেলসাং",https://www.rokomari.com/book/338506/industrial-engineering-and-production-management,মার্তান্ড টি তেলসাং,N/A
"Straight and Level: Practical Airline Economics, 3rd Edition
স্টিফেন হলোওয়ে",https://www.rokomari.com/book/121936/straight-and-level-practical-airline-economics-3rd-edition,স্টিফেন হলোওয়ে,(6)
"Shreve'S Chemical Process Industries 
জর্জ টি. অস্টিন",https://www.rokomari.com/book/105160/shreve-s-chemical-process-industries,জর্জ টি. অস্টিন,(2)
"Chemical Kinetics, 3e
কিথ জে লেইডলার",https://www.rokomari.com/book/221300/chemical-kinetics-3e,কিথ জে লেইডলার,(3)
"Principles Of Distributed Database Systems 
এম টামের ওজসু",https://www.rokomari.com/book/102977/principles-of-distributed-database-systems,এম টামের ওজসু,(3)
"Fiber Optic Communications
জোসেফ সি. প্যালাইস",https://www.rokomari.com/book/115490/fiber-optic-communications,জোসেফ সি. প্যালাইস,(1)
"Corrosion Engineering 
মার্স জি. ফোনটনা",https://www.rokomari.com/book/105297/corrosion-engineering,মার্স জি. ফোনটনা,(4)
"Design and Analysis of Algorithms
S Sridhar",https://www.rokomari.com/book/160041/design-and-analysis-of-algorithms,S Sridhar,N/A
